"names","pts","ast","reb","wins","total_games","win_pct","year"
"Paul Arizin",21.0277777777778,NA,NA,33,72,0.458333333333333,1955
"Paul Seymour",14.6388888888889,NA,NA,43,72,0.597222222222222,1955
"Paul Walther",2.44776119402985,NA,NA,42,67,0.626865671641791,1955
"Phil Martin",1.71428571428571,NA,NA,1,7,0.142857142857143,1955
"Ray Felix",14.3611111111111,NA,NA,38,72,0.527777777777778,1955
"Red Rocha",11.3055555555556,NA,NA,43,72,0.597222222222222,1955
"Robert Zawoluk",6.38805970149254,NA,NA,30,67,0.447761194029851,1955
"Ronnie MacGilvray",1.33333333333333,NA,NA,0,6,0,1955
"Slater Martin",13.5277777777778,NA,NA,40,72,0.555555555555556,1955
"Togo Palazzi",4.62264150943396,NA,NA,24,53,0.452830188679245,1955
"Tom Brennan",0.909090909090909,NA,NA,5,11,0.454545454545455,1955
"Tom Marshall",7.93055555555556,NA,NA,29,72,0.402777777777778,1955
"Vern Mikkelsen",18.4583333333333,NA,NA,40,72,0.555555555555556,1955
"Wally Osterkorn",2.94736842105263,NA,NA,12,19,0.631578947368421,1955
"Walt Davis",2.734375,NA,NA,28,64,0.4375,1955
"Whitey Skoog",10.9027777777778,NA,NA,40,72,0.555555555555556,1955
"Al Ferrari",8.26470588235294,NA,NA,30,68,0.441176470588235,1956
"Alex Hannum",5.44444444444444,NA,NA,32,72,0.444444444444444,1956
"Andy Phillip",5.8,NA,NA,36,70,0.514285714285714,1956
"Arnie Risen",8,NA,NA,36,68,0.529411764705882,1956
"Art Spoelstra",8.55555555555556,NA,NA,31,72,0.430555555555556,1956
"Bill Kenville",7.38356164383562,NA,NA,36,73,0.493150684931507,1956
"Bill Sharman",19.9166666666667,NA,NA,39,72,0.541666666666667,1956
"Bob Cousy",18.8333333333333,NA,NA,39,72,0.541666666666667,1956
"Bob Harrison",8.49315068493151,NA,NA,33,73,0.452054794520548,1956
"Bob Houbregs",11.1142857142857,NA,NA,37,70,0.528571428571429,1956
"Bob Peterson",5.3448275862069,NA,NA,30,58,0.517241379310345,1956
"Bob Pettit",25.6027397260274,NA,NA,33,73,0.452054794520548,1956
"Bob Santini",2.75,NA,NA,3,4,0.75,1956
"Bob Schafer",4.34615384615385,NA,NA,22,52,0.423076923076923,1956
"Bob Williams",3.25,NA,NA,5,20,0.25,1956
"Bobby Wanzer",10.3472222222222,NA,NA,31,72,0.430555555555556,1956
"Carl Braun",15.3561643835616,NA,NA,35,73,0.479452054794521,1956
"Charlie Share",13.5616438356164,NA,NA,33,73,0.452054794520548,1956
"Chris Harris",2.41463414634146,NA,NA,17,41,0.414634146341463,1956
"Chuck Cooper",4.50746268656716,NA,NA,28,67,0.417910447761194,1956
"Chuck Mencel",4.61428571428571,NA,NA,32,70,0.457142857142857,1956
"Chuck Noble",9.56944444444444,NA,NA,37,72,0.513888888888889,1956
"Clyde Lovellette",21.4444444444444,NA,NA,34,72,0.472222222222222,1956
"Connie Simmons",5.35294117647059,NA,NA,28,68,0.411764705882353,1956
"Dick Farley",6.61643835616438,NA,NA,36,73,0.493150684931507,1956
"Dick Garmaker",5.66666666666667,NA,NA,33,69,0.478260869565217,1956
"Dick Hemric",7.04225352112676,NA,NA,38,71,0.535211267605634,1956
"Dick McGuire",6.79365079365079,NA,NA,30,63,0.476190476190476,1956
"Dick Ricketts",8.97058823529412,NA,NA,28,68,0.411764705882353,1956
"Dick Schnittker",11.3150684931507,NA,NA,34,73,0.465753424657534,1956
"Dolph Schayes",20.3835616438356,NA,NA,36,73,0.493150684931507,1956
"Don Bielke",2,NA,NA,1,7,0.142857142857143,1956
"Don Meineke",7.1304347826087,NA,NA,29,69,0.420289855072464,1956
"Dwight Morrison",3.15492957746479,NA,NA,38,71,0.535211267605634,1956
"Earl Lloyd",8.41095890410959,NA,NA,36,73,0.493150684931507,1956
"Ed Conlin",8.26865671641791,NA,NA,34,67,0.507462686567164,1956
"Ed Fleming",12.5211267605634,NA,NA,31,71,0.436619718309859,1956
"Ed Kalafat",7.9041095890411,NA,NA,34,73,0.465753424657534,1956
"Ed Macauley",17.4366197183099,NA,NA,38,71,0.535211267605634,1956
"Ernie Barrett",7,NA,NA,39,72,0.541666666666667,1956
"Ernie Beck",5.23880597014925,NA,NA,43,67,0.641791044776119,1956
"Ernie Vandeweghe",4.4,NA,NA,2,5,0.4,1956
"Frank Brian",6.18918918918919,NA,NA,18,37,0.486486486486487,1956
"Frank Selvy",11,NA,NA,8,17,0.470588235294118,1956
"Gene Shue",9.0958904109589,NA,NA,35,73,0.479452054794521,1956
"George Dempsey",4.75,NA,NA,45,72,0.625,1956
"George King",10.3424657534247,NA,NA,36,73,0.493150684931507,1956
"George Mikan",10.6315789473684,NA,NA,20,38,0.526315789473684,1956
"George Yardley",17.3802816901408,NA,NA,36,71,0.507042253521127,1956
"Harry Gallatin",14,NA,NA,35,73,0.479452054794521,1956
"Jack Coleman",12.7662337662338,NA,NA,36,77,0.467532467532468,1956
"Jack George",13.8611111111111,NA,NA,45,72,0.625,1956
"Jack McMahon",7.22222222222222,NA,NA,33,72,0.458333333333333,1956
"Jack Nichols",14.4166666666667,NA,NA,34,60,0.566666666666667,1956
"Jack Stephens",10.3150684931507,NA,NA,33,73,0.452054794520548,1956
"Jack Twyman",14.5138888888889,NA,NA,31,72,0.430555555555556,1956
"Jackie Moore",2.38181818181818,NA,NA,36,55,0.654545454545455,1956
"James Davis",0.5,NA,NA,2,4,0.5,1956
"Jesse Arnelle",4.74193548387097,NA,NA,18,31,0.580645161290323,1956
"Jim Baechtold",10.830985915493,NA,NA,34,71,0.47887323943662,1956
"Jim Holstein",2.66666666666667,NA,NA,17,27,0.62962962962963,1956
"Jim Loscutoff",8.33802816901408,NA,NA,38,71,0.535211267605634,1956
"Jim Tucker",3.88732394366197,NA,NA,34,71,0.47887323943662,1956
"Joe Graboski",14.3333333333333,NA,NA,45,72,0.625,1956
"Johnny Horan",1.88888888888889,NA,NA,8,18,0.444444444444444,1956
"Johnny Kerr",13.3287671232877,NA,NA,36,73,0.493150684931507,1956
"Ken Sears",12.8450704225352,NA,NA,34,71,0.47887323943662,1956
"Larry Foust",16.1666666666667,NA,NA,37,72,0.513888888888889,1956
"Larry Hennessy",3.74074074074074,NA,NA,35,54,0.648148148148148,1956
"Lew Hitch",4.12857142857143,NA,NA,33,70,0.471428571428571,1956
"Maurice Stokes",16.7462686567164,NA,NA,30,67,0.447761194029851,1956
"Max Zaslofsky",9.77777777777778,NA,NA,2,9,0.222222222222222,1956
"Medford Park",3.70731707317073,NA,NA,21,41,0.51219512195122,1956
"Mel Hutchins",12,NA,NA,36,66,0.545454545454545,1956
"Nat Clifton",8.86153846153846,NA,NA,31,65,0.476923076923077,1956
"Neil Johnston",22.0857142857143,NA,NA,44,70,0.628571428571429,1956
